url,date_posted,street,price_total_zl,price_per_m2_zl,area_m2,rooms,city
https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-gen-sylwestra-kaliskiego-3-pokojowe-t0h4k3,ponad miesiąc temu,ul. gen. Sylwestra Kaliskiego,960000.0,13521.0,71.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-skorosze-ul-dzieci-warszawy-3-pokojowe-m9j6s4,dzisiajnowe,ul. Dzieci Warszawy,899000.0,16495.0,55.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-ul-obroncow-tobruku-2-pokojowe-v3q5u0,dzisiajnowe,ul. Obrońców Tobruku,899000.0,19128.0,47.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-trzcinowa-2-pokojowe-x8f6s8,,ul. Trzcinowa,,,49.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-pulawska-3-pokojowe-e4s6n0,dzisiajnowe,ul. Puławska,1250000.0,17123.0,73.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-bartlomieja-3-pokojowe-v2x3q3,dzisiajnowe,ul. Bartłomieja,2199000.0,26925.0,82.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wawer-ul-patriotow-3-pokojowe-c5w9t8,dzisiajnowe,ul. Patriotów,990000.0,17368.0,57.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-wolska-3-pokojowe-w2l7m4,dzisiajnowe,ul. Wolska,1949000.0,29985.0,65.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-chrzanow-ul-szeligowska-2-pokojowe-m8x4f5,,ul. Szeligowska,,,44.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wilanow-ul-franciszka-klimczaka-2-pokojowe-n1g1b8,dzisiajnowe,ul. Franciszka Klimczaka,899000.0,18551.0,48.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-bielany-ul-josepha-conrada-3-pokojowe-q6h1n4,dzisiajnowe,ul. Josepha Conrada,730000.0,13319.0,55.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-targowek-ul-zurominska-3-pokojowe-d2j0i8,dzisiajnowe,ul. Żuromińska,899000.0,17980.0,50.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-walicow-3-pokojowe-w2q1q1,dzisiajnowe,ul. Waliców,980000.0,20417.0,48.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-podskarbinska-2-pokojowe-o4p8h9,,ul. Podskarbińska,,,43.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-lacinska-4-pokojowe-a1x5e9,dzisiajnowe,ul. Łacińska,1734000.0,18394.0,94.0,4,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-antoniego-malczewskiego-2-pokojowe-w4l5k8,dzisiajnowe,ul. Antoniego Malczewskiego,756000.0,19926.0,38.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-dolny-mokotow-ul-bobrowiecka-2-pokojowe-a3f9k7,dzisiajnowe,ul. Bobrowiecka,1150000.0,19828.0,58.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wawer-ul-wichrowa-1-pokoj-m2b7y3,dzisiajnowe,ul. Wichrowa,568000.0,16229.0,35.0,1,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wlochy-al-krakowska-2-pokojowe-f5h9l7,,al. Krakowska,,,53.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wilanow-ul-ksiedza-prymasa-augusta-hlonda-2-pokojowe-d3j3p3,wczorajnowe,ul. Księdza Prymasa Augusta Hlonda,960000.0,17954.0,53.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-ursynow-ul-klobucka-2-pokojowe-y2y0t0,wczorajnowe,ul. Kłobucka,910000.0,20000.0,46.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-obroncow-tobruku-3-pokojowe-z2m4m7,dzisiajnowe,ul. Obrońców Tobruku,1250000.0,16447.0,76.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-sokolowska-2-pokojowe-r1h8i0,dzisiajnowe,ul. Sokołowska,1097700.0,21142.0,52.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-targowek-ul-oliwska-2-pokojowe-b8c6x1,,ul. Oliwska,,,45.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-cybernetyki-2-pokojowe-o4g7x1,wczorajnowe,ul. Cybernetyki,949000.0,16545.0,57.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wawer-ul-naddnieprzanska-4-pokojowe-i8e6g6,wczorajnowe,ul. Naddnieprzańska,1595000.0,14500.0,110.0,4,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-ul-nowogrodzka-5-pokojowe-z9s2n3,dzisiajnowe,ul. Nowogrodzka,2999000.0,21971.0,137.0,5,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-marysin-wawerski-ul-storczykowa-3-pokojowe-m2q0t7,dzisiajnowe,ul. Storczykowa,905000.0,10904.0,83.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-chrzanow-ul-szeligowska-2-pokojowe-d9b4t4,,ul. Szeligowska,,,42.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-bielany-ul-sokratesa-1-pokoj-d6o0k4,wczorajnowe,ul. Sokratesa,750000.0,23526.0,32.0,1,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-piastow-slaskich-2-pokojowe-b6s9f1,wczorajnowe,ul. Piastów Śląskich,800000.0,15094.0,53.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-ul-wolnosci-2-pokojowe-g7i3m7,dzisiajnowe,ul. Wolności,409000.0,9976.0,41.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-trakt-nadwislanski-1-pokoj-b4t3m7,dzisiajnowe,ul. Trakt Nadwiślański,375000.0,13998.0,27.0,1,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-trzcinowa-3-pokojowe-l2o0n8,,ul. Trzcinowa,,,55.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-targowek-ul-krasnobrodzka-1-pokoj-e5o9s3,wczorajnowe,ul. Krasnobrodzka,495000.0,15000.0,33.0,1,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-bobrowiecka-2-pokojowe-b5i3f8,wczoraj,ul. Bobrowiecka,1345000.0,22797.0,59.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-slawinska-2-pokojowe-o8l0n8,dzisiajnowe,ul. Sławińska,749000.0,19429.0,39.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-odolany-ul-jana-kazimierza-2-pokojowe-h4i0t7,dzisiajnowe,ul. Jana Kazimierza,1227000.0,20797.0,59.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-chrzanow-ul-szeligowska-3-pokojowe-k7r9i2,,ul. Szeligowska,,,63.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-al-stanow-zjednoczonych-1-pokoj-y1e5b6,wczoraj,al. Stanów Zjednoczonych,559000.0,15357.0,36.0,1,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-ursynow-ul-aleksandra-janowskiego-3-pokojowe-u1m7x6,wczoraj,ul. Aleksandra Janowskiego,823500.0,12999.0,63.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-ursus-ul-nurzynska-1-pokoj-k5t0j6,ponad miesiąc temu,ul. Nurzyńska,492000.0,13977.0,35.0,1,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-bielany-2-pokojowe-45-m2-g7r9t9,4 dni temu,,645000.0,14333.0,45.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-ul-smocza-1-pokoj-k1d2p0,4 dni temu,ul. Smocza,469000.0,24188.0,19.0,1,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-zoliborz-3-pokojowe-47-m2-m8y4c5,4 dni temu,,870000.0,18511.0,47.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-ochota-ul-wladyslawa-okinskiego-2-pokojowe-v4u6n8,4 dni temu,ul. Władysława Okińskiego,575000.0,15457.0,37.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-raclawicka-1-pokoj-y1b5k7,4 dni temu,ul. Racławicka,529000.0,26450.0,20.0,1,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-ursynow-ul-makolagwy-2-pokojowe-f8c5r4,4 dni temu,ul. Makolągwy,849000.0,16980.0,50.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-wiktorska-1-pokoj-o0s8m3,4 dni temu,ul. Wiktorska,624000.0,19500.0,32.0,1,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-ursus-ul-tomcia-palucha-3-pokojowe-h0k5e7,4 dni temu,ul. Tomcia Palucha,990000.0,16500.0,60.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-ursynow-ul-ludwinowska-5-pokojowe-y6f8f1,4 dni temu,ul. Ludwinowska,1249000.0,12010.0,104.0,5,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-odkryta-2-pokojowe-c8c8i6,4 dni temu,ul. Odkryta,750000.0,15152.0,50.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wilanow-ul-jana-iii-sobieskiego-3-pokojowe-x3n3r5,4 dni temu,ul. Jana III Sobieskiego,793000.0,14110.0,56.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-plochocinska-2-pokojowe-z5x9u8,4 dni temu,ul. Płochocińska,710400.0,14800.0,48.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-dedala-2-pokojowe-h6h0h0,4 dni temu,ul. Dedala,1050000.0,14056.0,75.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-ul-bagatela-2-pokojowe-g3x7c2,4 dni temu,ul. Bagatela,1740000.0,28861.0,60.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-przeworska-3-pokojowe-n4z7d8,4 dni temu,ul. Przeworska,995000.0,18598.0,54.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-ceramiczna-2-pokojowe-a4b0f8,4 dni temu,ul. Ceramiczna,560000.0,16471.0,34.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wilanow-ul-aleksandra-gieysztora-5-pokojowe-n8o3y0,dzisiajnowe,ul. Aleksandra Gieysztora,2650000.0,22845.0,116.0,5,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-1-pokoj-23-m2-p7k9n0,dzisiajnowe,,370000.0,16087.0,23.0,1,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-ochota-ul-bialobrzeska-1-pokoj-s3t6m2,4 dni temu,ul. Białobrzeska,700000.0,21212.0,33.0,1,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-grzybowska-2-pokojowe-q0q3m9,5 dni temu,ul. Grzybowska,670000.0,24815.0,27.0,2,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-ursynow-ul-eugeniusza-lokajskiego-3-pokojowe-k7g3r4,wczorajnowe,ul. Eugeniusza Lokajskiego,850000.0,14167.0,60.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-saska-kepa-ul-arabska-3-pokojowe-u1t6y6,wczorajnowe,ul. Arabska,760000.0,16239.0,47.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-potrzebna-3-pokojowe-n9j0c4,5 dni temu,ul. Potrzebna,700000.0,12471.0,56.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wola-3-pokojowe-54-m2-z4m5h4,5 dni temu,,750000.0,13889.0,54.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-ogrodowa-3-pokojowe-s9n0x8,wczoraj,ul. Ogrodowa,1590000.0,20852.0,76.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-krokwi-1-pokoj-k6p8v3,wczoraj,ul. Krokwi,570000.0,18689.0,31.0,1,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-podskarbinska-1-pokoj-m8o3q6,5 dni temu,ul. Podskarbińska,519000.0,14854.0,35.0,1,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-targowek-ul-heleny-junkiewicz-1-pokoj-e6y8z5,5 dni temu,ul. Heleny Junkiewicz,465000.0,14220.0,33.0,1,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-juliana-konstantego-ordona-3-pokojowe-u8s5a0,wczoraj,ul. Juliana Konstantego Ordona,902000.0,13989.0,64.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-stegny-ul-capri-3-pokojowe-a2u5g4,wczoraj,ul. Capri,760000.0,14340.0,53.0,3,Warszawa
https://adresowo.pl/o/mieszkanie-warszawa-bielany-ul-wrzeciono-2-pokojowe-r6x7z4,5 dni temu,ul. Wrzeciono,639000.0,17270.0,37.0,2,Warszawa
