,0
298,CD244_expression
299,TNFSF10_expression
300,PLCB2_expression
301,FIGF_expression
302,PDGFRL_expression
303,PPFIA3_expression
304,GAB3_expression
305,MGP_expression
306,MNDA_expression
307,APPL1_expression
308,PTPRA_expression
309,ITGB1BP2_expression
310,EN1_expression
311,SNX2_expression
312,TNFSF13B_expression
313,IL17RA_expression
314,DNAJC6_expression
315,CDK5R1_expression
316,RCSD1_expression
317,SOD1_expression
318,DUSP15_expression
319,PIK3C3_expression
320,YY1_expression
321,MYO1E_expression
322,LGALS1_expression
323,PAX6_expression
324,COPB1_expression
325,AIPL1_expression
326,IQGAP1_expression
327,LRFN1_expression
328,SOCS3_expression
329,CLTC_expression
330,HSPA9_expression
331,ARL11_expression
332,PARVG_expression
333,NF1_expression
334,SNCAIP_expression
335,RUNX2_expression
336,CDC14B_expression
337,CUL1_expression
338,CEP70_expression
339,MPDZ_expression
340,GRB14_expression
341,MAP1LC3C_expression
342,GAB2_expression
343,IL3RA_expression
344,ZCCHC6_expression
345,KRT31_expression
346,APBB1IP_expression
347,DVL2_expression
348,TFAP2B_expression
349,COL18A1_expression
350,PACSIN3_expression
351,PTPRN2_expression
352,DUSP16_expression
353,CKB_expression
354,PRAM1_expression
355,CGN_expression
356,SREBF1_expression
357,TFAP2A_expression
358,MS4A6A_expression
359,MYO1F_expression
360,F10_expression
361,TRPC3_expression
362,NKG7_expression
363,MEF2C_expression
364,RNASE3_expression
365,RNASE6_expression
366,TPTE2_expression
367,GAB1_expression
368,AGAP1_expression
369,ERLIN2_expression
370,TYK2_expression
371,S100A8_expression
372,PTK2B_expression
373,WEE1_expression
374,ALOX5_expression
375,PTPRU_expression
376,FBN1_expression
377,WNT5A_expression
378,PLCG1_expression
379,FGFR1_expression
380,EYA2_expression
381,AIMP2_expression
382,CSF2RA_expression
383,PRKCA_expression
384,DUSP3_expression
385,KIT_expression
386,RPS6KB1_expression
387,PIK3AP1_expression
388,MAPK11_expression
389,INPP5D_expression
390,HRAS_expression
391,PTPN21_expression
392,STAT5A_expression
393,TRIP6_expression
394,ROCK2_expression
395,CDC25C_expression
396,STAT1_expression
397,S100A2_expression
398,HMHA1_expression
399,CUX1_expression
400,FGF9_expression
401,PALLD_expression
402,PDGFB_expression
403,PLCE1_expression
404,FGF20_expression
405,GOLT1B_expression
406,GLI1_expression
407,IL1B_expression
408,CYTH1_expression
409,SLA_expression
410,RAC1_expression
411,FBXO25_expression
412,LDOC1_expression
413,KAT5_expression
414,CD33_expression
415,RPS14_expression
416,TMEM119_expression
417,NCK2_expression
418,RAB5A_expression
419,RRAS_expression
420,LPAR4_expression
421,CBL_expression
422,ADAP1_expression
423,LYL1_expression
424,CLEC11A_expression
425,PDPK1_expression
426,NOG_expression
427,GORASP2_expression
428,MTMR4_expression
429,PDAP1_expression
430,TSPAN32_expression
431,SH2D2A_expression
432,BCAR3_expression
433,CP_expression
434,SIGLEC7_expression
435,PRKACB_expression
436,HOOK2_expression
437,P2RX1_expression
438,BTRC_expression
439,COL6A2_expression
440,ARFGAP1_expression
441,PCOLCE_expression
442,CD63_expression
443,JAK1_expression
444,AZU1_expression
445,ALX1_expression
446,FUT7_expression
447,MARCO_expression
448,DNM2_expression
449,ITGAV_expression
450,TEC_expression
451,PLSCR1_expression
452,DUPD1_expression
453,SHC2_expression
454,CST7_expression
455,MTMR3_expression
456,CALCR_expression
457,ELMO2_expression
458,GADD45G_expression
459,CD9_expression
460,FGF5_expression
461,CYFIP2_expression
462,WASL_expression
463,CISH_expression
464,RNASE2_expression
465,PCDH19_expression
466,ATR_expression
467,DOCK8_expression
468,BZRAP1_expression
469,SERPINB10_expression
470,SPRED2_expression
471,STAT5B_expression
472,DUSP14_expression
473,ARNT_expression
474,NXF3_expression
475,EPN1_expression
476,COLEC12_expression
477,SOS1_expression
478,PRPF4B_expression
479,EYA4_expression
480,HNF4A_expression
481,SF3B3_expression
482,IL10_expression
483,FGF3_expression
484,NR3C1_expression
485,ACTR2_expression
486,HTR3C_expression
487,BLK_expression
488,TFEC_expression
489,SERP2_expression
490,PTPRT_expression
491,IL7R_expression
492,THOC5_expression
493,VAPB_expression
494,TNK1_expression
495,PIK3R2_expression
496,ARAF_expression
497,RASGRP2_expression
498,ITIH1_expression
499,KRT15_expression
500,CHEK1_expression
501,ABL2_expression
502,SLC46A1_expression
503,E4F1_expression
504,FGFR3_expression
505,PTPN9_expression
506,UBE3C_expression
507,BIRC5_expression
508,FLI1_expression
509,DUSP1_expression
510,PRRX1_expression
511,PRKCE_expression
512,PHLDB2_expression
513,RHOA_expression
514,ARF1_expression
515,FOXO3_expression
516,SNX4_expression
517,BCAR1_expression
518,PTPRM_expression
519,SOCS5_expression
520,MUC1_expression
521,TNK2_expression
522,CPT2_expression
523,PRRT2_expression
524,MRC2_expression
525,SPNS3_expression
526,TRAF4_expression
527,KRTAP10-9_expression
528,PAN3_expression
529,NAA15_expression
530,ETV6_expression
531,SIAH1_expression
532,ERRFI1_expression
533,CTSG_expression
534,PPARA_expression
535,ADAMTSL4_expression
536,CSNK2A1_expression
537,TPTE_expression
538,PIK3C2A_expression
539,PIK3CB_expression
540,NEDD9_expression
541,MYO1C_expression
542,KRAS_expression
543,CDKN3_expression
544,PTPN4_expression
545,ARPC5_expression
546,BAIAP2_expression
547,HNF1A_expression
548,LEPRE1_expression
549,AKT3_expression
550,MLC1_expression
551,TGIF1_expression
552,C1orf228_expression
553,ELANE_expression
554,BCLAF1_expression
555,GAPT_expression
556,PTPN14_expression
557,BIN2_expression
558,NCKAP1L_expression
559,DUSP28_expression
560,CDC25A_expression
561,DUSP2_expression
562,VASN_expression
563,PLK1_expression
564,BGN_expression
565,FGF18_expression
566,ZSCAN21_expression
567,LGALS12_expression
568,EIF2C4_expression
569,SUGT1_expression
570,CYTH3_expression
571,PIK3R5_expression
572,EPM2A_expression
573,RAPGEF1_expression
574,EPOR_expression
575,HSP90AB1_expression
576,UBE2L6_expression
577,ADRBK1_expression
578,EIF4EBP1_expression
579,SHC1_expression
580,DPEP2_expression
581,WASF2_expression
582,STAR_expression
583,NPDC1_expression
584,FGF8_expression
585,CSF2RB_expression
586,CCDC155_expression
587,BAG4_expression
588,FGFR2_expression
589,TGFBR2_expression
590,SH3PXD2A_expression
591,CBLB_expression
592,SOS2_expression
593,SYK_expression
594,PTK2_expression
595,TXK_expression
596,SH2B3_expression
597,PTPRH_expression
598,DUSP21_expression
599,UBA5_expression
600,WDR74_expression
601,ITGB2_expression
602,PTPRO_expression
603,FGF2_expression
604,VEGFA_expression
605,AGT_expression
606,ANKLE1_expression
607,EGR2_expression
608,ACTR3_expression
609,PDCD6_expression
610,INPP5K_expression
611,SH3KBP1_expression
612,SSH1_expression
613,CD247_expression
614,ORAI1_expression
615,RFC1_expression
616,RASGRP1_expression
617,KDR_expression
618,GMFG_expression
619,CXorf21_expression
620,SOCS4_expression
621,FGFR4_expression
622,CDC42_expression
623,STAP1_expression
624,S1PR1_expression
625,PIP4K2A_expression
626,DOCK1_expression
627,KHK_expression
628,VAV1_expression
629,SNX1_expression
630,BMX_expression
631,FOXA1_expression
632,TRIM29_expression
633,EEA1_expression
634,HRC_expression
635,PAK2_expression
636,OTUD7B_expression
637,CD81_expression
638,DUSP10_expression
639,GRB2_expression
640,MEOX2_expression
641,ZEB2_expression
642,MEIS1_expression
643,KLB_expression
644,DOCK4_expression
645,DOK3_expression
646,FGF16_expression
647,PTPN12_expression
648,POU2F1_expression
649,ZBTB34_expression
650,ITIH2_expression
651,PIK3CD_expression
652,SH3BP4_expression
653,DLG1_expression
654,STK16_expression
655,EPC1_expression
656,LCP2_expression
657,PAG1_expression
658,MMP2_expression
659,PRKCB_expression
660,SCFD1_expression
661,LRRC8C_expression
662,PIK3CA_expression
663,SHC3_expression
664,KRT34_expression
665,ATF2_expression
666,PTPRG_expression
667,NTPCR_expression
668,EHD3_expression
669,FGD6_expression
670,AKT1_expression
671,EPAS1_expression
672,ARHGEF4_expression
673,PROK2_expression
674,FOXJ1_expression
675,PXK_expression
